ENSDARG00000042370	1	chr17	-	27971144	27976031	27972332,	27975916,
ENSDARG00000017905	1	chr1	+	17527378	17536307	17527453,17528217,17529256,17531296,17531580,17531812,	17527969,17529114,17531168,17531405,17531686,17534290,
ENSDARG00000070467	1	chr11	-	28127836	28157129	28129163,28132158,28137275,28140002,28142637,28146748,28151519,	28132053,28137028,28139845,28142531,28146598,28151450,28156940,
ENSDARG00000086425	0	chr16	-	9433738	9453591	9434293,9437687,9437856,9438090,9439793,9440210,9440477,9440678,9441549,9441824,9442038,9442395,9444155,9447064,9447299,9449686,	9437632,9437779,9437972,9439680,9440111,9440334,9440596,9441383,9441637,9441920,9442133,9444069,9446909,9447169,9449529,9453406,
ENSDARG00000037473	1	chr16	-	26132951	26140768	26133021,26134499,26134715,26137055,	26134440,26134600,26136711,26140674,
ENSDARG00000025554	0	chr11	+	30744266	30747836	30744503,30745148,30745373,	30745043,30745276,30747492,
ENSDARG00000013252	1	chr3	+	26734162	26751819	26734455,26737177,26737332,26737684,26740426,26740899,26741129,26742785,26742955,26743148,26744059,26744216,26744426,26746417,26746637,26746842,26750462,	26737075,26737263,26737430,26740284,26740752,26740977,26742616,26742880,26743051,26743964,26744141,26744293,26746244,26746559,26746759,26750418,26751298,
ENSDARG00000061644	1	chr16	+	29555801	29577708	29555856,29558751,29577224,	29558530,29577102,29577399,
ENSDARG00000039123	1	chr13	-	36868365	36911118	36869762,36872817,36874773,36880045,36885608,36887781,36890516,36898234,36898428,	36872655,36874524,36879907,36885463,36887628,36890406,36898112,36898333,36910183,
ENSDARG00000103118	1	chr25	-	3224085	3230187	3224591,3226163,3226367,3227819,3228025,3229492,	3226075,3226249,3227666,3227929,3229458,3229957,
ENSDARG00000062326	0	chr5	+	22969651	22972775	22969763,22970646,22970992,22971166,22971303,22971553,	22970620,22970963,22971131,22971256,22971446,22971888,
ENSDARG00000103471	1	chr4	+	30454496	30460765	30454538,30455024,	30454875,30459185,
ENSDARG00000045567	1	chr21	-	14812838	14815974	14813556,14813765,	14813638,14815743,
ENSDARG00000041431	1	chr18	+	19006063	19039960	19006487,19009747,19015544,19016887,19022779,19023387,19034526,19034693,19035910,	19008560,19015482,19016779,19022696,19023296,19034245,19034604,19035744,19038708,
ENSDARG00000071487	0	chr21	-	1629722	1644414	1630435,1630558,1630864,1632715,1635381,1640825,1642814,1643151,	1630515,1630712,1632649,1635228,1640541,1642560,1642900,1644286,
ENSDARG00000012341	1	chr1	-	53881844	53907092	53882377,53884738,53885054,53887585,53887747,53889245,53889406,53891033,53891207,53892264,53893167,53895317,53895509,53896522,53896687,53898183,53898394,53898591,53899647,	53884680,53884938,53887507,53887679,53889181,53889349,53890953,53891171,53892056,53893010,53895157,53895432,53896437,53896604,53898015,53898261,53898473,53899578,53906792,
ENSDARG00000091799	1	chr11	-	1403741	1409236	1404687,1406080,1406952,1407200,	1405822,1406885,1407140,1408771,
ENSDARG00000105269	1	chr22	-	14304677	14309817	14305046,14309630,	14309130,14309778,
ENSDARG00000070487	0	chr17	+	45472695	45518523	45472945,45474395,45475078,45476916,45477052,45479028,45481173,	45474225,45474913,45476776,45476991,45478957,45481092,45516664,
ENSDARG00000005544	1	chr1	+	51191050	51197601	51191141,51192254,51193731,51194778,	51192057,51193641,51194660,51196026,
ENSDARG00000037537	1	chr23	-	19968956	19977214	19970253,19974214,19976339,19976612,	19973996,19976207,19976429,19976751,
ENSDARG00000035648	1	chr16	-	378766	383664	379853,381048,381549,383033,	380738,381443,382794,383344,
ENSDARG00000058022	1	chr23	-	31962383	31969786	31963393,31964697,31967552,	31964546,31967378,31969752,
ENSDARG00000091954	1	chr22	-	14338178	14346575	14338239,14339117,14346229,	14338439,14346084,14346550,
ENSDARG00000062965	0	chr13	+	9819194	9830710	9819609,9820166,9822386,9823008,9823351,9825518,9825726,9825894,	9819970,9822307,9822860,9823240,9825418,9825619,9825800,9828370,
ENSDARG00000008678	1	chr20	+	32406011	32432871	32406259,32426951,32429900,	32426856,32429776,32432048,
ENSDARG00000056757	1	chr13	-	11690277	11696553	11691030,11695996,	11695812,11696077,
ENSDARG00000070013	1	chr6	-	34213971	34220641	34214758,34218371,	34218275,34220092,
ENSDARG00000071074	1	chr25	+	3217419	3224669	3217650,3219810,3220422,3221366,3221541,3223971,3224083,	3219622,3220263,3221245,3221443,3223822,3224054,3224200,
ENSDARG00000093116	1	chr22	-	14350839	14361022	14351091,	14360552,
ENSDARG00000022160	0	chr18	+	20825375	20853376	20825654,20826618,20826963,20828121,20828449,20838957,20841469,20843840,20845411,20853110,	20826447,20826840,20827980,20828324,20838786,20841364,20843710,20845262,20853028,20853265,
ENSDARG00000075456	1	chr11	-	34488869	34522249	34489680,34492304,34492511,34492761,34494337,34494560,34495054,34496354,34496580,34498568,34498770,34500721,34501173,34502774,34504176,34506093,34508592,34513152,34517641,34520134,34521342,	34492150,34492394,34492591,34494259,34494439,34494948,34496183,34496477,34498322,34498646,34500587,34501021,34502669,34504091,34505848,34508342,34512943,34517232,34520034,34521027,34522197,
ENSDARG00000007169	0	chr17	-	35225614	35238359	35225833,35226502,35228611,35229183,35229348,35235825,	35226353,35228519,35229053,35229270,35235696,35238210,
ENSDARG00000087032	1	chr23	+	7471072	7504017	7471210,7478715,7484693,7484860,7485575,7488322,7488608,7491727,7491905,7492871,7499321,7499430,7499625,7499789,	7478611,7484651,7484765,7485463,7488247,7488442,7491675,7491835,7492163,7499192,7499396,7499532,7499702,7501689,
ENSDARG00000053884	1	chr10	-	28029578	28118035	28031213,28033821,28034977,28036151,28036467,28037353,28037798,28038202,28039087,28040798,28041676,28042374,28042685,28043880,28045345,28045759,28046164,28046606,28046909,28050761,28057388,28064003,28065736,28066034,28066759,28073210,28089752,28111409,	28033721,28034813,28035997,28036282,28037195,28037656,28037979,28038896,28040579,28040943,28042151,28042518,28042967,28045146,28045551,28046074,28046485,28046882,28050545,28056666,28063890,28065574,28065840,28066562,28073065,28089584,28111175,28117135,
ENSDARG00000019207	1	chr5	-	25025053	25037454	25025743,25026410,25032606,	25026276,25032571,25037380,
ENSDARG00000093665	1	chr4	-	40846483	40854534	40847768,40853781,	40853631,40854506,
ENSDARG00000044298	0	chr10	+	16029260	16035413	16029415,16031734,16032855,16033590,	16031148,16032735,16033507,16034576,
ENSDARG00000103057	1	chr7	-	68214935	68373495	68221374,68226951,68227169,68232225,68234591,68256982,68329061,68368010,	68221483,68227046,68232025,68234458,68256875,68328830,68367514,68370413,
ENSDARG00000040254	1	chr16	-	29551023	29557338	29551490,29552160,29552300,29552434,29552860,29553113,29553562,29554329,29555597,29555713,29555845,29556569,29556799,29557044,	29552080,29552236,29552383,29552771,29552956,29553411,29554262,29555571,29555693,29555809,29556509,29556655,29556969,29557176,
ENSDARG00000052088	1	chr9	+	48085039	48091741	48085454,	48088038,
ENSDARG00000098144	1	chr4	+	40858450	40861846	40858599,	40861793,
ENSDARG00000077686	1	chr10	-	41060739	41156348	41061892,41071914,41089447,41089862,41093276,41099525,41103623,41104092,41107084,41108251,41112097,41115376,41119591,41121412,41121669,41126551,41129451,41130645,41136477,41143332,41143601,	41071303,41089343,41089752,41093175,41099421,41103564,41104012,41106861,41108076,41111798,41115294,41119425,41121327,41121566,41126419,41129370,41130524,41136335,41143224,41143483,41156178,
ENSDARG00000096757	1	chr12	+	31537604	31556004	31537770,31538207,31543514,31544586,31545946,31548906,31551170,31551832,31552076,31553089,31555400,	31538117,31543435,31544528,31545766,31548751,31551105,31551764,31551926,31552955,31555251,31555979,
ENSDARG00000045832	1	chr25	-	19441920	19443421	19442271,19443032,	19442949,19443174,
ENSDARG00000089202	1	chr17	-	8879812	8886735	8880175,8880626,8886494,	8880531,8886433,8886628,
ENSDARG00000062801	1	chr16	+	11029762	11142797	11030301,11099893,11134808,11135931,	11099659,11134693,11134907,11137337,
ENSDARG00000061187	1	chr23	-	36297221	36306356	36299328,36301301,36301727,36303274,36304907,36306135,	36301201,36301496,36303059,36304833,36305934,36306302,
ENSDARG00000101300	0	chr5	-	54545432	54554583	54545765,54552046,	54551847,54554293,
ENSDARG00000098510	1	chr4	-	40880433	40883162	40881466,40882695,	40882546,40883110,
ENSDARG00000068716	1	chr10	+	37145007	37167451	37145269,37147531,37152203,37154617,37155250,37159483,37159870,37160100,37163255,37163414,	37146983,37152073,37154491,37155085,37159418,37159787,37159953,37163197,37163342,37166796,
ENSDARG00000021163	1	chr19	-	17514631	17526735	17518974,17521062,17521359,17522121,17523217,17523482,17524433,	17520804,17521213,17522035,17523012,17523335,17524333,17526399,
ENSDARG00000014954	1	chr25	+	6451038	6479571	6453258,	6479136,
ENSDARG00000023645	1	chr5	-	33264842	33274645	33267116,33268277,33268457,33269177,33269356,33269512,33269710,33272539,33272710,33272938,33273175,33274429,	33268191,33268381,33268991,33269267,33269436,33269590,33272414,33272624,33272789,33273028,33274371,33274538,
ENSDARG00000073870	1	chr14	-	33219370	33260858	33221360,33235350,33235639,33236267,33238133,33238535,33238705,33242455,33245477,33245824,33247353,33247543,33250213,33254406,33257940,	33235268,33235492,33236119,33237912,33238382,33238623,33242316,33245384,33245726,33247294,33247450,33250110,33254191,33257875,33260708,
ENSDARG00000104807	1	chr1	+	58613972	58618868	58614060,58615076,58615454,	58614909,58615157,58617368,
ENSDARG00000061120	1	chr10	-	24371921	24391030	24374723,24374946,24375100,24377178,24377531,24377769,24379466,24379777,24380695,24380880,24384737,24384897,24385426,	24374823,24375027,24377046,24377399,24377752,24379323,24379584,24380562,24380788,24384661,24384842,24385132,24390795,
ENSDARG00000075795	0	chr2	-	31830183	31833347	31830631,31830792,31830998,31831112,31832376,31832749,31832956,	31830715,31830877,31831073,31832348,31832694,31832896,31833047,
ENSDARG00000020618	1	chr9	-	32797816	32804953	32798382,32800752,32801337,32802320,32802570,32804525,	32800596,32801245,32802201,32802457,32804473,32804792,
ENSDARG00000094025	0	chr5	-	22956894	22969572	22961572,22967466,22969031,	22967304,22968889,22969413,
ENSDARG00000101102	1	chr5	+	54501105	54542062	54503012,54531974,54539218,	54531776,54539112,54541832,
ENSDARG00000078162	1	chr16	+	9495590	9502154	9495849,9497921,9499019,9499865,9500041,9501691,9501939,	9497769,9498882,9499771,9499991,9501325,9501808,9502058,
ENSDARG00000095324	1	chr4	+	5215950	5223170	5216294,5218382,5218620,5218878,5219216,5219996,5220284,5222481,5222666,5222904,	5218178,5218454,5218695,5219019,5219882,5220099,5222344,5222571,5222740,5222998,
ENSDARG00000038863	0	chr17	+	41081512	41266561	41082078,41084771,41092538,41121786,41159000,41163868,41220165,41242964,41252839,41254781,41259939,	41084620,41092462,41121692,41158806,41163794,41220056,41242865,41252769,41254699,41259786,41264021,
ENSDARG00000035821	1	chr19	+	40122160	40165799	40122780,40128415,40129484,40136910,40137124,40142884,40143578,40145534,40145996,40146227,40147623,40147941,40149010,40149308,40151478,40152008,40152575,40152809,40153048,40155032,40155459,40156889,40157153,40159917,40160122,40163105,40163300,	40128334,40129188,40136855,40136987,40142821,40143404,40145405,40145781,40146077,40147508,40147714,40148860,40149133,40151310,40151880,40152544,40152710,40152939,40154861,40155118,40156795,40157024,40159766,40160008,40162866,40163177,40165178,
ENSDARG00000076248	1	chr11	+	1409622	1412356	1410003,	1411295,
ENSDARG00000042520	0	chr5	-	67474119	67499279	67474508,67475893,67479370,67481707,67484950,67486708,67487878,67488057,67489604,67492043,67493909,67494066,67496751,67497093,	67475794,67479186,67481271,67484617,67486631,67487755,67487963,67489485,67491888,67493761,67494002,67496681,67497000,67499041,
ENSDARG00000071662	1	chr22	-	5940398	5958066	5940441,5942606,5948397,5952238,5955506,	5942469,5948116,5951912,5955201,5957927,
ENSDARG00000078475	1	chr9	-	48134394	48184823	48134704,48174983,48179241,	48174831,48178024,48184160,
ENSDARG00000055837	1	chr16	-	26140895	26232411	26143720,26143921,26146271,26146591,26146814,26146958,26148792,26149024,26151422,26151609,26151805,26152203,26153643,26153885,26154071,26157124,26157414,26167740,26169524,26170054,26170423,26170634,26171965,26179658,26179850,26180020,26183154,26186246,26188333,26197394,	26143821,26146099,26146472,26146686,26146900,26148667,26148937,26151255,26151534,26151731,26152103,26153529,26153760,26153989,26156978,26157224,26167596,26169354,26170022,26170372,26170517,26171936,26179518,26179745,26179978,26183056,26186133,26188247,26197330,26232355,
ENSDARG00000043492	1	chr13	+	311380	318827	311589,312689,313272,314258,314506,314642,317715,	312590,313093,314175,314429,314590,317622,318188,
ENSDARG00000070774	1	chr19	+	23296616	23299413	23296748,23298604,	23298037,23298785,
ENSDARG00000093658	0	chr4	-	1732825	1757460	1735043,1736379,1736593,1737090,1738993,1741361,1743988,1746323,1747938,1748507,1750936,	1736217,1736496,1736938,1738913,1741275,1743811,1746152,1747818,1748357,1750782,1757232,
ENSDARG00000099439	1	chr18	+	3572314	3576434	3572568,3572905,	3572830,3575896,
ENSDARG00000035507	1	chr5	+	29714786	29745566	29715141,29715572,29715743,29715877,29716026,29716314,29717293,29717435,29717607,29718645,29718902,29719433,29720987,29723956,29726478,29726756,29727252,29729764,29731775,	29715256,29715668,29715834,29715956,29716250,29717249,29717394,29717543,29718526,29718796,29719219,29720823,29723897,29726428,29726617,29727168,29729653,29731580,29745119,
ENSDARG00000093845	1	chr1	+	56992262	56996143	56992316,56992626,56993517,56993855,56995791,	56992557,56993170,56993616,56995542,56995889,
ENSDARG00000063451	0	chr2	+	2181719	2207243	2181846,2185026,2188707,2191364,2191518,2192872,2193620,2196601,2196856,2197869,2200580,2202476,2204838,2205055,	2184810,2188559,2191222,2191444,2192759,2193516,2196437,2196680,2197663,2200498,2202336,2204687,2204950,2206908,
ENSDARG00000069649	0	chr15	+	8394819	8400091	8395098,8395383,8397616,	8395359,8397524,8399270,
ENSDARG00000038543	1	chr2	+	49805892	49834052	49805955,49807900,49808173,49808336,49810024,49813601,49813828,49819249,49819413,49822009,49823904,49824088,49824314,49826204,49826655,49827066,49827499,49831157,	49807760,49808095,49808254,49809895,49813513,49813727,49819025,49819339,49821907,49823807,49823981,49824218,49826109,49826550,49826979,49827423,49830965,49833321,
ENSDARG00000074387	0	chr8	+	18464235	18488221	18464547,18473627,18476344,18482994,	18473574,18476264,18482921,18486251,
ENSDARG00000011897	1	chr7	-	49619375	49637278	49621472,49621802,49624491,49628351,49629776,49630418,49633479,49634194,49637049,	49621563,49624289,49628254,49629716,49630292,49633316,49634129,49636962,49637127,
ENSDARG00000032577	1	chr8	-	48629495	48668111	48630043,48633627,48633982,48637146,48639624,48642550,48644762,48646194,48649240,48652362,48656271,48656535,48658605,48658820,48660977,48661202,48662375,48663339,48663495,48666885,48667022,48667315,	48633502,48633875,48636990,48639467,48642364,48644656,48646038,48649087,48652233,48656154,48656369,48658492,48658688,48660919,48661135,48662249,48663233,48663429,48666820,48666957,48667256,48668015,
ENSDARG00000030656	1	chr1	-	45616067	45636362	45617938,45619780,45622082,45622278,45622473,45624261,45627745,45631312,45631635,	45619729,45621986,45622183,45622356,45624124,45627664,45631184,45631396,45636212,
ENSDARG00000005318	1	chr9	+	38043337	38065147	38043501,38046125,38049817,38050814,38052445,38056884,38057245,38058693,38058860,38059070,38061331,38061570,38061814,	38046041,38049742,38050719,38052299,38056815,38057053,38058599,38058778,38058983,38061277,38061414,38061672,38063639,
ENSDARG00000104398	1	chr16	-	45149355	45152169	45149899,	45151788,
ENSDARG00000028976	1	chr24	+	36317544	36329800	36317725,36321695,36323601,36325298,36327433,36327911,	36321321,36323330,36325112,36327324,36327733,36329246,
ENSDARG00000012987	1	chr25	+	35913614	35938996	35913873,35917018,35919472,35921434,35923787,35924542,35925052,35926041,35926178,35926364,35928017,35928531,35931098,35932138,35932960,35934950,35937150,	35916928,35919404,35921315,35923704,35924396,35924981,35925997,35926125,35926304,35927974,35928379,35930969,35932062,35932832,35934875,35937084,35938576,
ENSDARG00000005462	1	chr21	-	44735181	44771213	44739346,44741407,44741603,44742511,44743257,44743423,44745872,44746320,44747335,44748003,44748370,44749264,44751223,44753699,44754643,44755814,44757591,44758655,44759909,44760047,44761518,44762894,44763402,44765689,44765892,44766298,44766844,44769395,44770997,	44741288,44741481,44742350,44743165,44743346,44745765,44746150,44747206,44747906,44748215,44749151,44751140,44753589,44754499,44755711,44757391,44758548,44759804,44759989,44761386,44762833,44763227,44765570,44765798,44766132,44766755,44769205,44770883,44771090,
ENSDARG00000067794	1	chr7	+	828289	847274	829225,838259,841951,844487,844937,845580,845727,846585,	837897,841658,844386,844917,845548,845680,846544,846686,
